tax	Superkingdom	Kingdom	Phylum	Class	Order	Family	Genus	Species
Bacteria;Bacteria_none;Firmicutes;Bacilli;Bacillales;Bacillaceae;Bacillus;Bacillus vallismortis	Bacteria	Bacteria_none	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus vallismortis
Bacteria;Bacteria_none;Proteobacteria;Alphaproteobacteria;Hyphomicrobiales;Stappiaceae;Roseibium;Roseibium sediminis	Bacteria	Bacteria_none	Proteobacteria	Alphaproteobacteria	Hyphomicrobiales	Stappiaceae	Roseibium	Roseibium sediminis
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Citrobacter;Citrobacter koseri	Bacteria	Bacteria_none	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Citrobacter	Citrobacter koseri
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Marinobacteraceae;Marinobacter;Marinobacter salarius	Bacteria	Bacteria_none	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Marinobacteraceae	Marinobacter	Marinobacter salarius
Bacteria;Bacteria_none;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Erythrobacteraceae;Qipengyuania;Qipengyuania vesicularis	Bacteria	Bacteria_none	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Erythrobacteraceae	Qipengyuania	Qipengyuania vesicularis
Bacteria;Bacteria_none;Proteobacteria;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Ralstonia;Ralstonia pickettii	Bacteria	Bacteria_none	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Ralstonia	Ralstonia pickettii
Bacteria;Bacteria_none;Bacteroidota;Saprospiria;Saprospirales;Haliscomenobacteraceae;Phaeodactylibacter;Phaeodactylibacter xiamenensis	Bacteria	Bacteria_none	Bacteroidota	Saprospiria	Saprospirales	Haliscomenobacteraceae	Phaeodactylibacter	Phaeodactylibacter xiamenensis
Bacteria;Bacteria_none;Firmicutes;Bacilli;Bacillales;Bacillaceae;Bacillus;Bacillus velezensis	Bacteria	Bacteria_none	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus velezensis
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas;Pseudomonas lalkuanensis	Bacteria	Bacteria_none	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas lalkuanensis
Bacteria;Bacteria_none;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Thalassobaculaceae;Thalassobaculum;Thalassobaculum salexigens	Bacteria	Bacteria_none	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Thalassobaculaceae	Thalassobaculum	Thalassobaculum salexigens
Bacteria;Bacteria_none;Proteobacteria;Alphaproteobacteria;Hyphomicrobiales;Phyllobacteriaceae;Hoeflea;Hoeflea halophila	Bacteria	Bacteria_none	Proteobacteria	Alphaproteobacteria	Hyphomicrobiales	Phyllobacteriaceae	Hoeflea	Hoeflea halophila
Bacteria;Bacteria_none;Proteobacteria;Alphaproteobacteria;Hyphomicrobiales;Phyllobacteriaceae;Hoeflea;Hoeflea prorocentri	Bacteria	Bacteria_none	Proteobacteria	Alphaproteobacteria	Hyphomicrobiales	Phyllobacteriaceae	Hoeflea	Hoeflea prorocentri
Bacteria;Bacteria_none;Actinobacteria;Actinomycetia;Propionibacteriales;Propionibacteriaceae;Cutibacterium;Cutibacterium acnes	Bacteria	Bacteria_none	Actinobacteria	Actinomycetia	Propionibacteriales	Propionibacteriaceae	Cutibacterium	Cutibacterium acnes
Bacteria;Bacteria_none;Proteobacteria;Alphaproteobacteria;Hyphomicrobiales;Rhizobiaceae;Peteryoungia;Peteryoungia desertarenae	Bacteria	Bacteria_none	Proteobacteria	Alphaproteobacteria	Hyphomicrobiales	Rhizobiaceae	Peteryoungia	Peteryoungia desertarenae
Bacteria;Bacteria_none;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Sphingopyxis;Sphingopyxis alaskensis	Bacteria	Bacteria_none	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingopyxis	Sphingopyxis alaskensis
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Shigella;Shigella dysenteriae	Bacteria	Bacteria_none	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Shigella	Shigella dysenteriae
Bacteria;Bacteria_none;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Thalassospiraceae;Thalassospira;Thalassospira tepidiphila	Bacteria	Bacteria_none	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Thalassospiraceae	Thalassospira	Thalassospira tepidiphila
Bacteria;Bacteria_none;Proteobacteria;Alphaproteobacteria;Hyphomicrobiales;Devosiaceae;Devosia;Devosia indica	Bacteria	Bacteria_none	Proteobacteria	Alphaproteobacteria	Hyphomicrobiales	Devosiaceae	Devosia	Devosia indica
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Escherichia;Escherichia coli	Bacteria	Bacteria_none	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Alteromonadales;Shewanellaceae;Shewanella;Shewanella submarina	Bacteria	Bacteria_none	Proteobacteria	Gammaproteobacteria	Alteromonadales	Shewanellaceae	Shewanella	Shewanella submarina
Bacteria;Bacteria_none;Proteobacteria;Deltaproteobacteria;Myxococcales;Myxococcaceae;Simulacricoccus;Simulacricoccus ruber	Bacteria	Bacteria_none	Proteobacteria	Deltaproteobacteria	Myxococcales	Myxococcaceae	Simulacricoccus	Simulacricoccus ruber
Bacteria;Bacteria_none;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Silicimonas;Silicimonas algicola	Bacteria	Bacteria_none	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Silicimonas	Silicimonas algicola
