tax	barcode01_1	barcode01_2	barcode01_3	barcode02_1	barcode02_2	barcode02_3	barcode03_1	barcode03_2	barcode03_3	barcode04_1	barcode04_2	barcode04_3	barcode05_1	barcode05_2	barcode05_3	barcode06_1	barcode06_2	barcode06_3	barcode07_1	barcode07_2	barcode07_3	barcode08_1	barcode08_2	barcode08_3	barcode09_1	barcode09_2	barcode09_3	barcode10_1	barcode10_2	barcode10_3	barcode11_1	barcode11_2	barcode11_3	barcode12_1	barcode12_2	barcode12_3	barcode13_1	barcode13_2	barcode13_3	barcode14_1	barcode14_2	barcode14_3	barcode15_1	barcode15_2	barcode15_3	barcode16_1	barcode16_2	barcode16_3	barcode21_1	barcode21_2	barcode21_3	barcode22_1	barcode22_2	barcode22_3	barcode23_1	barcode23_2	barcode23_3	barcode24_1	barcode24_2	barcode24_3	total
Bacteria;Bacteria_none;Proteobacteria;Alphaproteobacteria;Parvibaculales;Parvibaculaceae;Pyruvatibacter	0	0	0	0	0	0	0	0	0	59	11	12	133	34	28	116	28	31	312	77	69	696	167	174	462	118	124	186	51	43	81	34	31	133	18	26	0	0	0	0	0	0	0	0	0	125	38	20	0	0	0	0	0	0	0	0	0	0	0	0	3437
Bacteria;Bacteria_none;Proteobacteria;Alphaproteobacteria;Parvibaculales;Parvibaculaceae;Candidatus Phaeomarinobacter	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1003	293	273	560	132	124	641	181	165	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3374
Bacteria;Bacteria_none;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Nioella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	977	297	252	430	141	114	641	195	191	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3238
Bacteria;Bacteria_none;Actinobacteriota;Acidimicrobiia;Microtrichales;Microtrichaceae;IMCC26207	1	0	0	0	0	0	0	0	0	601	132	148	472	131	114	674	202	187	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	240	42	71	0	0	0	0	0	0	0	0	0	0	0	0	3015
Eukaryota;Alveolata;Dinoflagellata;Dinophyceae;Gymnodiniphycidae;Suessiaceae;Symbiodinium	72	19	10	49	17	7	34	12	14	46	10	21	52	19	16	143	34	44	58	16	17	75	31	22	81	28	19	36	8	8	33	9	12	27	9	11	505	142	137	438	123	107	148	25	31	28	8	3	0	0	0	0	0	0	0	0	0	0	0	0	2814
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Pseudomonadales;BD2-7;Unclassified_BD2-7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	653	171	161	725	214	206	281	70	78	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2561
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Escherichia-Shigella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	531	123	152	1104	302	305	0	0	0	0	0	0	2518
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Salmonella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	463	133	136	1099	292	276	0	0	0	0	0	0	2400
Bacteria;Bacteria_none;Planctomycetota;Planctomycetes;Pirellulales;Pirellulaceae;Pir4 lineage	166	35	54	138	48	48	131	37	44	0	0	0	0	0	0	0	0	1	285	88	92	278	80	90	263	68	57	0	0	0	0	0	0	0	0	0	107	37	42	79	21	35	28	14	8	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2375
Bacteria;Bacteria_none;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Erythrobacter	1	0	0	0	0	0	0	0	0	27	8	8	39	8	6	54	17	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	467	145	113	426	120	107	269	73	61	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1962
