tax	barcode01_1	barcode01_2	barcode01_3	barcode02_1	barcode02_2	barcode02_3	barcode03_1	barcode03_2	barcode03_3	barcode04_1	barcode04_2	barcode04_3	barcode05_1	barcode05_2	barcode05_3	barcode06_1	barcode06_2	barcode06_3	barcode07_1	barcode07_2	barcode07_3	barcode08_1	barcode08_2	barcode08_3	barcode09_1	barcode09_2	barcode09_3	barcode10_1	barcode10_2	barcode10_3	barcode11_1	barcode11_2	barcode11_3	barcode12_1	barcode12_2	barcode12_3	barcode13_1	barcode13_2	barcode13_3	barcode14_1	barcode14_2	barcode14_3	barcode15_1	barcode15_2	barcode15_3	barcode16_1	barcode16_2	barcode16_3	barcode21_1	barcode21_2	barcode21_3	barcode22_1	barcode22_2	barcode22_3	barcode23_1	barcode23_2	barcode23_3	barcode24_1	barcode24_2	barcode24_3	total
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Thiotrichales;Piscirickettsiaceae;Methylophaga	6	0	0	6	1	0	6	4	2	0	0	0	0	0	0	0	0	0	50	13	19	69	29	26	78	16	15	25	6	7	1	0	1	9	1	3	0	0	0	0	0	0	0	0	0	10	5	3	0	0	0	0	0	0	0	0	0	0	0	0	411
Bacteria;Bacteria_none;Bacteroidota;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Maribacter	0	0	0	0	0	0	0	0	0	22	3	3	16	1	3	33	14	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	74	12	24	69	18	11	20	2	4	10	2	0	0	0	0	0	0	0	0	0	0	0	0	0	352
Bacteria;Bacteria_none;Planctomycetota;Planctomycetia;Planctomycetales;Planctomycetaceae;Maioricimonas	0	0	0	0	0	0	0	0	0	41	20	17	26	7	7	43	26	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34	17	11	29	12	14	13	9	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	349
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Nevskiales;Algiphilaceae;Algiphilus	13	7	1	8	1	0	18	4	2	47	13	9	50	12	12	45	5	9	0	0	0	2	0	2	1	1	1	13	3	7	6	4	5	24	5	9	0	0	0	0	0	0	0	0	0	2	3	0	0	0	0	0	0	0	0	0	0	0	0	0	344
Bacteria;Bacteria_none;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Roseobacteraceae;Sulfitobacter	0	0	0	0	0	0	0	0	0	78	14	24	73	15	18	60	23	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	1	0	0	0	0	0	0	0	0	0	0	0	0	335
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Alteromonadales;Alteromonadaceae;Planctobacterium	0	0	0	0	0	0	0	0	0	114	31	44	36	8	5	61	27	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	335
Bacteria;Bacteria_none;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Rhodospirillaceae;Marivibrio	19	6	10	26	5	1	14	3	4	35	12	10	23	3	4	19	8	11	14	5	5	21	8	8	18	6	7	5	0	4	1	1	1	5	1	0	0	0	0	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	327
Bacteria;Bacteria_none;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Roseobacteraceae;Roseicyclus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	146	36	42	0	0	0	0	0	0	0	0	0	0	0	0	224
Bacteria;Bacteria_none;Proteobacteria;Alphaproteobacteria;Hyphomicrobiales;Devosiaceae;Devosia	0	0	1	2	1	0	2	0	1	8	4	3	16	2	7	24	14	4	0	0	0	0	0	0	0	0	0	36	8	7	26	5	2	27	5	9	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	217
Bacteria;Bacteria_none;Proteobacteria;Alphaproteobacteria;Hyphomonadales;Hyphomonadaceae;Asprobacter	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	46	13	12	65	20	11	29	10	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	216
Bacteria;Bacteria_none;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Pseudooceanicola	42	9	14	54	23	12	16	7	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	180
